f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,class
15.9053,6.09407,4.91924,4.22329,5.49017,5.93224,7.95166,7.21326,2.47229,3.68695,B
3.81727,0.997093,3.54259,1.73324,2.14882,2.32673,0.81886,1.75744,1.48077,2.33566,NB
0.854342,0.690968,2.12372,0.828424,1.26647,0.99717,0.292699,0.978623,3.27526,1.41393,NB
1.38149,1.27917,2.07966,0.916757,2.36096,2.64527,0.675995,1.44755,2.12607,1.41616,NB
1.67233,0.262393,5.6351,0.668469,0.329474,0.466269,0.327544,0.615717,2.82013,2.86141,B
8.52525,1.06269,8.20118,1.1364,1.81131,2.39598,2.52976,2.40578,2.14233,2.6623,NB
9.50683,5.46433,3.01212,6.89239,5.44034,6.33388,10.3525,7.3519,2.6072,4.47445,B
5.05334,0.62537,4.3906,0.780676,1.32754,1.24877,0.665542,1.19881,1.56367,1.89493,NB
8.45254,0.478867,6.62262,1.23189,1.35004,2.34981,1.43562,0.9827,4.40168,1.65778,NB
1.59962,6.10282,3.16814,6.35523,5.68303,6.90633,9.32455,6.65871,2.21059,8.77216,NB
13.106,2.90381,7.56792,2.28234,4.88265,7.78347,9.03882,4.76263,4.05384,3.21937,B
2.25401,3.09842,1.46476,4.30685,2.80294,3.94482,6.36272,4.20808,1.08579,4.06056,B
0.781632,1.3054,1.1674,4.67689,3.17742,2.08205,0.480863,1.60249,3.29801,7.11885,NB
3.61732,3.56198,2.18429,1.25815,3.87173,2.9338,0.613274,2.29161,1.98954,1.87703,NB
0.599857,0.284259,0.756241,0.966892,0.424299,0.480119,0.271792,0.534165,9.5592,1.41616,NB
0.65439,0.345484,1.76579,0.59446,0.536802,0.549367,0.250885,0.766588,1.34586,1.44972,NB
0.690745,1.26605,4.00147,2.08658,4.00351,2.48831,0.808407,1.70443,2.47229,5.03376,NB
2.09041,2.51241,3.83627,3.61451,6.44645,5.98071,1.575,2.93587,1.9489,8.97127,NB
1.67233,1.078,2.84141,1.71415,1.43683,1.18414,0.519192,1.30891,3.78889,2.07615,NB
1.127,4.16111,2.0558,1.51122,4.72997,4.29106,1.3938,2.87878,2.00254,2.25512,NB
3.78092,0.997093,3.32049,2.27757,3.10027,2.10514,0.466925,1.73298,2.44466,4.18137,B
2.49032,2.285,10.2496,3.51901,3.93762,4.0787,5.35918,4.59545,2.74211,3.88606,B
1.19971,0.548838,7.77717,1.28919,1.03342,1.13336,0.655088,1.37823,3.75151,2.36698,B
10.1794,8.30473,3.94824,5.71063,7.47987,12.7116,16.0531,9.73322,2.50805,6.09644,NB
1.09065,1.27261,1.73458,3.445,2.37704,1.46113,0.505254,1.62288,2.64621,2.96209,NB
2.7448,1.11736,10.3029,1.77144,2.12631,1.96433,1.1255,1.74521,3.9173,2.81219,NB
9.81585,2.88414,4.09692,5.7918,3.55993,2.43522,0.839767,2.71976,2.75999,3.91738,NB
7.94357,0.914002,9.45852,2.59509,2.44936,2.0105,0.703871,2.22229,2.2366,3.21713,B
1.67233,0.922748,3.95925,1.12923,2.03149,1.7312,0.508739,1.20289,3.02331,1.97771,B
2.89022,2.12538,2.10903,1.46586,2.29989,4.44341,6.34878,3.36401,1.56855,2.8905,B
2.92658,4.9308,1.85573,9.50897,4.84408,2.86225,0.846736,3.51896,2.2301,3.8346,NB
6.14399,1.24855,4.67878,1.12923,3.19992,2.77222,0.804922,1.94501,2.313,2.30434,NB
8.41618,7.60283,1.65749,25.4018,8.69651,8.6883,12.8404,10.1206,2.41215,9.70061,NB
2.98111,7.84773,2.23385,7.21946,5.41784,8.71831,17.2483,10.1532,2.04155,4.06951,B
7.32553,2.24783,3.79222,6.72527,2.59883,3.18771,4.89922,3.4211,1.49865,2.76745,B
1.25425,0.500733,3.68943,1.21996,1.0961,0.918689,0.369358,1.12134,3.78077,2.31105,NB
6.63479,1.51969,2.74046,2.35874,2.18096,2.05897,1.08717,2.28753,4.80804,2.70481,B
1.03612,1.3054,3.09472,1.45631,2.96205,2.04051,0.57146,1.41085,2.48042,2.25512,NB
6.83474,5.55836,5.61674,8.2341,6.78878,7.82963,11.6557,6.96453,2.45929,6.81906,NB
3.03564,5.63489,1.28855,13.8325,5.95625,4.59344,5.98988,5.60261,1.60431,6.82578,B
4.98063,2.49055,2.36784,6.00667,2.24685,2.74914,5.65536,3.3477,3.80352,3.01131,NB
1.54509,0.397963,3.79589,0.840361,0.691092,0.616306,0.331029,1.04794,2.75024,2.38488,NB
4.34442,3.29522,4.66226,6.35045,2.99259,3.77401,6.84358,4.37118,2.23498,3.43862,NB
7.25282,2.16474,15.0532,2.60703,5.61231,3.60551,2.52976,4.33856,2.87215,4.5438,B
0.7271,0.179302,0.574523,0.58491,0.252329,0.39933,0.156803,0.334363,4.52034,1.01794,NB
10.4157,0.561958,3.83444,1.11969,0.985209,1.11489,0.529646,1.35784,2.92904,2.29763,NB
3.39919,5.36593,2.08517,7.86645,6.22948,5.38518,6.09441,5.25602,2.46416,4.84136,B
3.7991,0.253646,4.13914,0.577748,0.699128,1.12182,0.53313,0.96639,1.11505,1.70924,NB
1.87228,2.34404,2.73679,5.8109,1.78398,3.35391,6.23379,3.61275,2.64296,3.25964,B
6.9438,8.33753,3.67842,14.926,6.80646,6.90402,9.27577,6.92375,2.46904,9.06747,B
12.1607,1.72961,13.1424,4.07766,3.35582,3.16232,4.73894,4.11837,4.20013,4.42523,B
2.61756,9.59483,1.26836,10.0915,6.7261,10.5834,9.80193,9.12566,3.0737,5.72953,B
9.23417,2.19754,3.26726,3.1418,4.37317,3.8548,1.25791,2.78907,2.83639,3.67352,B
12.906,9.95344,2.14391,15.8809,9.18671,7.18101,7.05614,8.54664,2.13095,7.4522,B
2.12677,2.18879,5.71586,1.90752,4.10155,3.0446,1.02096,2.39763,5.98486,4.30442,NB
3.05382,2.09914,7.21917,2.65716,2.85116,3.60551,4.23368,3.53935,3.32239,2.45424,NB
0.58168,2.79886,4.95411,1.94572,1.5413,3.23849,4.31034,2.93587,3.14685,2.87707,B
0.963407,0.345484,1.07562,1.32739,0.503051,0.593224,0.341482,0.672803,12.4557,1.58619,NB
4.14447,10.9002,3.86197,9.86946,6.08965,10.5488,11.2306,11.4254,2.97943,7.08977,B
4.78068,0.387029,4.62372,0.735316,0.798774,1.02487,0.46344,1.3823,1.35399,2.12313,NB
2.7448,2.72014,5.77827,1.42766,3.60332,3.05152,0.878097,2.37724,1.97328,2.68915,B
1.59962,6.58387,2.52019,9.16996,8.68687,6.67088,1.86421,4.77894,3.03469,4.82346,NB
2.47214,2.70265,13.4031,1.99824,6.11858,3.49933,0.766593,3.09897,4.40656,4.2731,NB
0.690745,0.325804,2.73495,0.752027,0.662163,0.798659,0.418141,0.872605,2.10819,1.92625,B
10.5793,4.40383,13.4398,3.25401,7.41398,3.68399,1.66908,4.75447,3.79052,4.76305,B
6.68932,3.33895,2.23201,4.58379,4.39728,6.02457,6.63103,3.94303,2.08869,3.47441,B
10.6338,10.5504,3.1351,1.68072,5.97554,6.07304,2.50885,5.92067,2.43653,2.44081,NB
0.854342,0.61881,2.65419,2.32054,1.1395,0.860982,0.348451,0.860372,1.66607,2.56386,NB
2.3449,0.467934,2.06131,0.646982,0.84699,0.734028,0.292699,0.786976,1.72296,1.35352,B
6.2167,10.3317,1.24449,16.4205,9.51458,8.41824,9.07018,8.41615,3.16473,10.468,B
15.7781,23.3092,2.71109,15.3103,15.5624,18.8654,17.7954,17.8232,2.63321,11.3383,B
1.07247,0.684408,8.07636,1.62342,1.53808,1.48883,0.797953,1.41493,2.88515,2.84351,NB
1.49055,1.08237,4.0547,0.935856,1.76791,3.31005,2.9479,2.07142,2.20084,1.92849,B
7.48913,5.00296,2.02643,13.5341,7.5988,6.37081,8.1677,5.68417,2.9843,19.654,B
0.87252,1.68369,2.00624,2.16536,1.96238,2.82301,5.42539,2.92363,3.86854,2.61979,NB
3.29013,3.53574,4.43466,2.51392,3.23206,4.09717,4.80514,4.90127,2.57794,3.1433,B
1.56326,8.00298,1.68319,8.26036,5.28445,6.15614,11.6731,7.40083,2.55356,9.65139,B
10.4521,5.43153,2.81204,9.4851,4.69621,6.38235,12.5512,7.64141,2.63321,7.43654,B
1.98135,11.5125,1.91447,10.7409,10.4001,13.6488,19.1265,12.192,3.31427,15.4301,NB
1.4542,5.73984,4.60536,2.11523,5.67017,3.91482,0.829314,3.27431,3.65886,3.01578,NB
7.16193,4.23764,6.26469,4.14212,5.75535,6.41005,6.15016,5.25602,3.01356,4.14782,B
15.8144,37.1111,3.97761,33.5595,12.0041,28.2855,43.431,37.9216,2.0318,16.4503,B
8.70702,2.96941,6.12152,3.1227,3.88137,3.11616,1.32063,3.71061,2.6137,4.64672,B
8.34347,1.48908,16.9237,2.83383,3.94887,1.91817,0.745686,3.49858,3.69787,4.40733,B
0.563502,0.214288,0.528635,0.467928,0.284473,0.376247,0.17771,0.391449,4.04084,1.03136,NB
1.19971,0.942428,2.29626,1.18176,2.33846,1.94356,0.613274,1.38638,2.45116,1.81886,NB
1.39967,3.58166,3.89317,1.52077,4.03084,4.67193,3.64132,2.83393,2.0383,2.16787,NB
5.47143,7.58753,2.36601,14.8018,7.38505,6.23693,9.61725,6.85851,2.43328,16.0745,B
5.45325,8.11887,2.18429,7.42,7.58916,9.78242,15.2413,9.29691,1.80261,5.47002,NB
4.39895,2.09914,13.739,1.93856,3.19831,2.27133,0.756139,2.65859,5.19165,4.32903,NB
4.08994,6.4811,1.90529,3.15852,3.8653,8.27051,15.9521,8.56702,1.74409,3.40506,B
9.21599,2.86446,1.80617,11.9799,5.33427,2.66374,1.00354,3.78401,4.55448,5.17247,NB
14.8692,19.8172,2.779,14.0784,13.3429,17.0927,22.1162,17.2156,2.77137,8.87507,B
4.74433,5.73328,5.68099,10.4973,4.00512,4.9166,8.60326,5.56592,2.24473,6.16803,B
2.10859,2.93005,2.13657,2.53779,2.11185,3.34006,6.47074,4.35895,1.96515,2.57057,B
7.271,6.97528,2.46146,3.74343,7.58434,9.85629,11.3769,7.75966,2.11794,6.47006,NB
2.16312,5.2741,4.6072,3.3137,4.29281,5.9507,7.37323,5.61485,4.23914,3.11422,B
7.88903,0.391403,6.87959,1.1555,1.32754,2.05205,1.36244,1.25182,4.62762,2.19919,NB
13.5059,16.9571,1.89244,16.5064,10.4998,14.7706,25.5101,17.5133,1.70508,9.17262,B
11.3428,1.08674,11.6318,3.26356,2.32721,1.10797,0.512223,1.87569,2.91116,4.80332,B
1.74504,0.190235,0.95815,0.36527,0.345546,0.510126,0.212555,0.517854,1.66607,1.25956,B
5.8168,4.20922,3.5224,1.89797,5.71035,6.70089,3.15348,4.53836,2.17646,2.68691,B
0.817987,0.673475,2.8561,1.55658,0.911278,0.844825,0.50177,1.2192,7.27221,2.1455,NB
1.07247,3.28428,1.72357,4.20897,7.02664,5.51444,1.08368,3.18868,1.77985,8.44105,NB
2.7448,2.26751,3.82342,2.80518,4.8264,4.46649,1.83634,3.14382,1.99441,3.95765,NB
3.03564,2.68734,4.78341,4.45248,4.7155,2.96381,0.689933,3.07858,2.18459,3.86145,NB
7.48913,10.7822,6.68136,5.93744,7.30469,9.97632,17.4539,12.1961,3.03144,5.99353,NB
3.69003,5.88197,1.70154,10.9963,5.04498,7.33335,14.9834,7.84121,2.31787,5.84811,NB
33.7556,38.7336,3.96109,18.5596,19.0581,23.4774,44.1732,30.3414,1.93264,12.6135,B
5.59867,2.66766,3.26359,5.26419,4.17548,5.47982,6.15365,3.40887,2.19597,2.95761,B
22.631,18.9798,6.33995,8.94077,10.3744,14.1358,26.9457,18.4633,2.36826,5.99353,NB
3.7991,3.23837,5.77827,1.84784,4.91479,2.59218,0.700387,2.78907,3.98557,2.43634,NB
1.38149,2.25002,1.23165,3.05824,3.576,2.88764,0.839767,1.92055,1.73597,3.61983,NB
0.345372,0.12901,0.490088,0.460766,0.215364,0.31854,0.17771,0.33844,4.39193,1.02465,NB
2.87204,0.944614,3.27093,2.52824,1.49147,1.07103,0.411172,1.48832,4.4537,2.3379,NB
1.23607,5.23911,0.987519,7.66113,2.86562,5.84222,12.0146,7.40083,1.57667,5.34921,B
5.05334,3.17933,2.29442,6.55577,2.6374,4.77349,9.98313,5.60261,1.96678,3.76749,B
2.78116,2.34404,3.3627,2.60703,2.30793,3.90558,5.89579,4.11021,1.92452,2.57057,B
1.98135,0.38047,9.29516,1.20086,1.17164,1.03179,0.446018,1.22328,2.5113,2.71823,NB
13.106,5.99568,11.2775,2.70252,7.05075,5.72219,4.37655,6.21833,3.66211,3.93528,B
1.19971,4.3273,1.42621,5.27852,6.64413,4.2172,0.717809,3.40887,3.94819,3.51021,NB
13.1242,2.79886,9.84766,2.43752,4.31692,4.26567,3.0594,4.33856,2.85427,3.94199,B
5.19876,1.90453,6.89061,2.05315,4.22209,3.24773,0.892035,2.83801,2.56819,3.05158,NB
1.41784,3.47889,1.42438,4.02991,4.43424,2.67759,0.815376,2.48325,2.74374,3.24845,B
10.3248,6.80254,9.6898,6.23586,6.41912,7.03559,9.59635,7.72704,2.97455,9.80576,B
8.43436,6.01536,1.11601,9.79307,6.55574,6.49545,9.35591,8.14703,2.97618,10.0004,B
1.96317,2.18223,5.54699,1.31068,3.78494,2.3729,0.707356,2.15705,3.23137,2.21709,NB
1.52691,2.0248,1.36013,9.81933,2.42686,1.38496,0.602821,2.18559,1.5783,3.31109,B
0.817987,0.218661,0.591043,0.644595,0.295723,0.387788,0.212555,0.411837,4.9267,1.06044,NB
20.7042,11.1998,6.58224,8.74262,14.9774,8.03276,4.05249,8.82391,3.3614,7.356,B
11.0337,2.74857,6.87409,1.80725,5.7425,3.72785,1.17428,3.48227,2.99731,3.27754,NB
1.25425,0.334551,4.49156,1.12923,0.700736,0.764035,0.344967,0.950079,2.99731,2.1097,NB
19.0864,12.1553,2.84875,12.6006,10.8534,11.8622,18.0184,13.0116,1.97816,11.4837,B
4.67162,3.14871,1.30323,12.7797,2.79973,3.10923,5.34176,4.70962,2.78925,4.36483,B
1.47238,3.74566,2.32195,2.76698,2.87527,6.24155,9.2026,5.3131,2.00579,3.80328,B
6.96198,0.708461,6.52717,1.52793,1.04789,1.42189,0.839767,1.99394,4.25377,2.36027,NB
0.781632,0.601317,5.08444,1.20086,1.33718,1.0895,0.432079,1.30891,3.79215,2.32,NB
9.32506,5.67643,3.37739,3.39725,7.4638,4.89583,1.16731,4.28963,3.15497,2.95985,NB
1.74504,0.430762,6.42071,1.06716,0.721629,0.895606,0.536615,1.0928,2.51293,2.61532,B
8.97968,4.49785,4.88436,8.01208,3.33814,6.56009,13.5199,6.70356,3.17448,4.81898,B
7.14376,0.491987,1.93466,0.890496,0.679842,1.59501,1.96178,1.35376,4.95108,1.78531,B
1.79957,2.60206,1.11601,3.01288,2.50883,4.40186,8.00044,4.06944,1.22883,3.16791,B
2.3449,3.70193,3.01212,7.75663,5.02408,4.31645,3.0141,3.97158,2.63808,3.86145,NB
16.9051,7.38417,2.41924,14.6729,7.66309,10.1402,19.1788,10.0472,2.24473,15.9648,NB
14.7965,10.0081,2.4945,12.0802,9.63029,14.759,25.8446,14.5203,1.55392,7.4701,B
14.3784,12.8835,2.97908,11.5693,13.4651,12.5939,11.586,14.0759,2.29999,13.1437,NB
17.105,3.02189,4.71733,10.4162,5.38088,4.87274,5.55431,5.13777,2.77787,5.12996,B
5.38054,5.01389,1.70338,7.93807,6.94468,5.08049,1.34154,4.18361,1.89689,5.41632,NB
4.199,3.20119,6.79149,1.34887,3.13885,2.66374,0.829314,2.45471,3.1631,2.47213,B
8.85244,1.44316,5.42218,1.31784,1.46897,3.50856,5.97594,2.87878,2.64946,2.71599,B
3.67185,0.293005,2.89464,0.541937,0.613947,0.604765,0.275276,0.852217,1.62381,1.55263,B
2.03588,2.1232,1.76028,15.6971,5.0289,1.79352,0.665542,3.12751,1.73597,8.07862,NB
6.28941,8.10794,7.68356,11.8223,8.54222,9.01377,9.65558,8.68527,2.32112,4.99125,NB
1.21789,2.25439,4.11711,1.11491,1.9222,3.2962,6.08744,3.2213,2.04643,2.06496,B
4.50802,3.73691,7.91851,1.92424,4.0003,5.0828,10.5511,5.08476,2.6836,3.32004,NB
5.2533,4.51753,2.3293,2.65,2.98777,5.82606,10.7497,6.50784,2.82338,3.58404,B
2.52667,1.49345,1.15272,6.43401,2.86884,2.78838,1.15686,1.83084,1.93752,3.16791,B
5.8168,1.01677,2.21182,1.05761,1.07682,2.19054,4.47411,2.53626,1.86275,1.87032,B
9.21599,13.6532,2.0815,18.2898,6.9061,18.2007,40.0266,21.1179,2.11794,7.3023,B
2.3449,1.61153,6.24266,1.21996,1.00771,2.06359,4.12915,2.785,2.34226,2.45424,B
14.6329,2.14725,1.62078,9.09595,4.4696,1.66887,0.522677,3.26208,1.54742,5.9018,B
13.8513,9.50518,2.20815,15.296,6.5927,9.3577,15.3423,10.6792,1.93915,11.1839,B
2.72662,0.819978,4.26212,1.27487,1.62487,1.42651,0.574944,1.11318,1.78636,2.65111,B
4.16265,8.425,1.82085,6.1141,6.98968,8.6583,8.60674,7.03793,2.2171,4.10531,NB
2.27219,7.9352,7.35683,6.17379,6.75985,7.33335,9.68694,7.07055,3.39879,6.70944,NB
3.54461,1.1589,2.85426,1.20563,1.6538,1.33879,0.362389,1.15396,1.25809,2.17906,NB
4.30807,6.86376,3.37739,4.24716,3.42814,5.70603,9.52666,5.96552,2.54218,3.93304,NB
